id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
CN-111025839-A,Orthographic projection screen and projection system ,成都菲斯特科技有限公司,"张益民, 胡世加",09/01/2020,09/01/2020,17/04/2020,,https://patents.google.com/patent/CN111025839A/en,
CN-111171758-A,Adhesive for producing medium-density fiberboard and preparation method thereof ,怀集宜美木业有限公司,植二华,07/01/2020,07/01/2020,19/05/2020,,https://patents.google.com/patent/CN111171758A/en,
CN-111192200-A,Image super-resolution reconstruction method based on fusion attention mechanism residual error network ,南京邮电大学,"陈靖, 章韵",02/01/2020,02/01/2020,22/05/2020,,https://patents.google.com/patent/CN111192200A/en,
CN-111241157-A,Operation behavior backtracking method and device and electronic equipment ,支付宝(杭州)信息技术有限公司,"方勇, 王燕",07/01/2020,07/01/2020,05/06/2020,,https://patents.google.com/patent/CN111241157A/en,
CN-111208431-A,Lithium ion battery all-weather calendar life prediction method for electric automobile ,天津市捷威动力工业有限公司,"靳尉仁, 从长杰, 王驰伟",07/01/2020,07/01/2020,29/05/2020,,https://patents.google.com/patent/CN111208431A/en,
CN-111139877-A,Foundation pit real-time bearing capacity limit monitoring method and system ,北京国泰佳业科技发展有限公司,区兆光,07/01/2020,07/01/2020,12/05/2020,,https://patents.google.com/patent/CN111139877A/en,
CN-111241476-A,Method for obtaining regional estuary nutrient reference value ,中国海洋大学,"李正炎, 王蕾, 娄琦, 徐梦琪",06/01/2020,06/01/2020,05/06/2020,,https://patents.google.com/patent/CN111241476A/en,
CN-111884305-A,Power battery internal and external combined heating device ,武汉理工大学,"刘芙蓉, 洪彪明, 谢长君, 路帅康",10/01/2020,24/08/2020,03/11/2020,,https://patents.google.com/patent/CN111884305A/en,
CN-111189202-A,Energy-saving control method and device for electric equipment ,珠海格力电器股份有限公司,"李福良, 杨虹, 苗志强, 孙庆一鸣",06/01/2020,06/01/2020,22/05/2020,,https://patents.google.com/patent/CN111189202A/en,
CN-111242443-A,Deep reinforcement learning-based economic dispatching method for virtual power plant in energy internet ,"国网黑龙江省电力有限公司, 黑龙江大学","孙迪, 王宁, 关心, 林霖",06/01/2020,06/01/2020,05/06/2020,,https://patents.google.com/patent/CN111242443A/en,
CN-111242574-A,Intelligent site inspection management system and method based on GPS technology ,中国建筑第二工程局有限公司西南分公司,"程淑珍, 石立国, 李川, 文韬, 周颖颖, 肖博文, 阳林, 罗宇, 孙亮, 罗航, 陈逸, 郭艳, 周亚超",08/01/2020,08/01/2020,05/06/2020,,https://patents.google.com/patent/CN111242574A/en,
CN-111174397-A,A built-in humidifier for pharmaceutical production equipment ,广东泰宏君科学仪器股份有限公司,"伍晋平, 成石良",11/01/2020,11/01/2020,19/05/2020,,https://patents.google.com/patent/CN111174397A/en,
CN-111260769-A,Real-time rendering method and device based on dynamic illumination change ,北京中科深智科技有限公司,不公告发明人,09/01/2020,09/01/2020,09/06/2020,,https://patents.google.com/patent/CN111260769A/en,
CN-111191854-A,Photovoltaic power generation prediction model and method based on linear regression and neural network ,上海积成能源科技有限公司,"周浩, 顾一峰, 胡炳谦, 韩俊",10/01/2020,10/01/2020,22/05/2020,,https://patents.google.com/patent/CN111191854A/en,
CN-111182583-A,Task delay constraint-oriented low-orbit satellite data transmission method ,西安电子科技大学,"白卫岗, 王占伟, 盛敏, 周笛, 吴家鑫, 毕媛媛, 鲁都都",05/01/2020,05/01/2020,19/05/2020,,https://patents.google.com/patent/CN111182583A/en,
CN-110987992-A,Back-scattering imaging-based quantitative identification method for internal defects of external thermal insulation system of external wall ,上海市建筑科学研究院有限公司,"王卓琳, 陈溪, 李向民, 张东波, 冷予冰, 张永群",02/01/2020,02/01/2020,10/04/2020,,https://patents.google.com/patent/CN110987992A/en,
CN-111018023-A,Solar water desalination system based on carbon composite material hollow fiber membrane and method thereof ,内蒙古工业大学,"刘琦, 王海博, 白炳林, 王轩轩, 田瑞",03/01/2020,03/01/2020,17/04/2020,,https://patents.google.com/patent/CN111018023A/en,
CN-111028915-A,"Method, system and equipment for intelligently auditing surgical scheme ",曹庆恒,不公告发明人,02/01/2020,02/01/2020,17/04/2020,,https://patents.google.com/patent/CN111028915A/en,
CN-111145552-A,Planning method for vehicle dynamic lane changing track based on 5G network ,重庆大学,"刘永刚, 周波波, 何举刚, 梁锋华, 文滔, 熊周兵, 陈峥",06/01/2020,06/01/2020,12/05/2020,,https://patents.google.com/patent/CN111145552A/en,
CN-110818795-B,anti-TIGIT antibodies and methods of use ,上海复宏汉霖生物技术股份有限公司,"杨明, 许文峰, 姜伟东, 薛杰",10/01/2020,10/01/2020,24/04/2020,24/04/2020,https://patents.google.com/patent/CN110818795B/en,
CN-111097662-B,"Gluing method and device of gluing robot, storage medium and gluing robot ",广东博智林机器人有限公司,"叶志伟, 陈加添, 吴海鹏, 王宏哲, 张峰",06/01/2020,06/01/2020,26/02/2021,26/02/2021,https://patents.google.com/patent/CN111097662B/en,
CN-111156010-A,Construction method for shield of expansion soil layer to penetrate through existing train station house ,"中铁隧道局集团有限公司, 安徽建筑大学","刘志涛, 席培胜, 冀叶涛, 刘旭鹏, 刘洋, 王少波, 库红艳",10/01/2020,10/01/2020,15/05/2020,,https://patents.google.com/patent/CN111156010A/en,
CN-111246525-A,"Home wireless roaming method and system, cloud device and networking device ","中移（杭州）信息技术有限公司, 中国移动通信集团有限公司","吴青华, 高恩伟, 李思敏, 章晨, 陆海俊, 宋伟",09/01/2020,09/01/2020,05/06/2020,,https://patents.google.com/patent/CN111246525A/en,
CN-111118441-A,Method for nitriding surface of hard alloy ,"汇专科技集团股份有限公司, 华南理工大学, 科益展智能装备有限公司广州分公司","彭继华, 曾己伟, 颜炳姜, 李伟秋",07/01/2020,07/01/2020,08/05/2020,,https://patents.google.com/patent/CN111118441A/en,
CN-111241593-A,Data synchronization method and device for block chain nodes ,支付宝(杭州)信息技术有限公司,陈锐,02/01/2020,02/01/2020,05/06/2020,,https://patents.google.com/patent/CN111241593A/en,
CN-111262906-A,Method for unloading mobile user terminal task under distributed edge computing service system ,中山大学,"温武少, 李子杰",08/01/2020,08/01/2020,09/06/2020,,https://patents.google.com/patent/CN111262906A/en,
CN-110831115-B,"Method, device and storage medium for dynamically selecting network connection point ",炬星科技（深圳）有限公司,"王翔宇, 黄华",09/01/2020,09/01/2020,01/12/2020,01/12/2020,https://patents.google.com/patent/CN110831115B/en,
CN-111222176-A,"Block chain-based cloud storage possession proving method, system and medium ",中国人民解放军国防科技大学,"谭霜, 黄辰林, 丁滟, 王晓川, 李宝, 张建锋, 谭郁松, 任怡, 阳国贵, 谭林",08/01/2020,08/01/2020,02/06/2020,,https://patents.google.com/patent/CN111222176A/en,
CN-110854972-B,"Battery cell charging method, and battery full-life-cycle charging method and system ",长兴太湖能谷科技有限公司,吴建斌,09/01/2020,16/01/2020,14/04/2020,14/04/2020,https://patents.google.com/patent/CN110854972B/en,
US-10689669-B1,"Automated multi-module cell processing methods, instruments, and systems ","Inscripta, Inc.","Emily Feldman, Benjamin Mijts, Aamir Mir, Erik Zimmerman, Andrew Garst",11/01/2020,11/01/2020,23/06/2020,23/06/2020,https://patents.google.com/patent/US10689669B1/en,https://patentimages.storage.googleapis.com/d4/63/24/27bff4336c77fd/US10689669-20200623-D00000.png
CN-111111585-A,Non-contact type multi-focus ultrasonic phased array suspension liquid transfer method and system ,杭州电子科技大学,"吴立群, 刘宽, 杨梦露, 陈增",08/01/2020,08/01/2020,08/05/2020,,https://patents.google.com/patent/CN111111585A/en,
CN-111121482-A,Air cooling island anti-freezing and back pressure automatic control method under deep peak regulation in extremely cold area ,通辽霍林河坑口发电有限责任公司,"吕雪霞, 原志国, 张勇, 刘凤友, 何庆龙, 刘玉鑫, 姚大春, 张宏伟, 王宏光, 耿胜民, 郭健, 刘德明",07/01/2020,07/01/2020,08/05/2020,,https://patents.google.com/patent/CN111121482A/en,
CN-211666823-U,Liquid oxygen stop valve of liquid rocket engine ,"星河动力(北京)空间科技有限公司, 北京星河动力装备科技有限公司",不公告发明人,10/01/2020,10/01/2020,13/10/2020,13/10/2020,https://patents.google.com/patent/CN211666823U/en,
CN-110983573-A,Color-spun polyester-viscose fabric and production method thereof ,利郎(中国)有限公司,"陈国仲, 郭阳, 高兵, 汪珊, 史志颖",04/01/2020,04/01/2020,10/04/2020,,https://patents.google.com/patent/CN110983573A/en,
CN-111134666-A,Emotion recognition method of multi-channel electroencephalogram data and electronic device ,中国科学院软件研究所,"马翠霞, 杜肖兵, 李锦瑶, 王宏安",09/01/2020,09/01/2020,12/05/2020,,https://patents.google.com/patent/CN111134666A/en,
CN-111245401-A,"Sparse coefficient FIR filter design method, filter, device and medium ",深圳大学,"叶文彬, 娄鑫, 陈旺谦",10/01/2020,10/01/2020,05/06/2020,,https://patents.google.com/patent/CN111245401A/en,
CN-110952954-A,Assembled soft environment-friendly platform for workover treatment and use method ,中国石油天然气股份有限公司,"江智强, 王尚卫, 巨亚锋, 罗有刚, 白小佩, 张家富, 张雄涛, 梁万银, 王嘉鑫, 李旭梅",02/01/2020,02/01/2020,03/04/2020,,https://patents.google.com/patent/CN110952954A/en,
CN-211523677-U,Energy-concerving and environment-protective type building curtain ,上海金博建筑工程有限公司,蔡永君,12/01/2020,12/01/2020,18/09/2020,18/09/2020,https://patents.google.com/patent/CN211523677U/en,
KR-20200005753-A,Apparatus for analyzing customer emotion ,효성아이티엑스(주),"탁정미, 정창식, 이용한",06/01/2020,06/01/2020,16/01/2020,,https://patents.google.com/patent/KR20200005753A/en,https://patentimages.storage.googleapis.com/b5/9f/03/30ee08281648fc/pat00001.png
CN-111117946-A,Nasal mucosa organoid culture medium and culture method ,南方医科大学南方医院,"李刚, 汪珂, 王显文",08/01/2020,08/01/2020,08/05/2020,,https://patents.google.com/patent/CN111117946A/en,
CN-111222097-A,Method for evaluating reliability and analyzing sensitivity of photovoltaic direct-current boosting and collecting system ,"武汉大学, 国网浙江省电力有限公司","刘飞, 查鹏程, 余滢婷, 夏琦",07/01/2020,07/01/2020,02/06/2020,,https://patents.google.com/patent/CN111222097A/en,
CN-111039394-A,Powder-reinforced SBR sewage biochemical treatment method ,同济大学,"柴晓利, 陆斌, 戴晓虎, 武博然, 汪秀仲",03/01/2020,03/01/2020,21/04/2020,,https://patents.google.com/patent/CN111039394A/en,
CN-110903857-A,Moving bed non-slag pure oxygen continuous gasification system and process ,河南骏化发展股份有限公司,"汤广斌, 刘旭, 王恩伟, 李冬, 安连杰, 张景华",02/01/2020,02/01/2020,24/03/2020,,https://patents.google.com/patent/CN110903857A/en,
CN-111110397-A,Self-cleaning intraocular lens and preparation method thereof ,中山大学中山眼科中心,"谢曦, 陈伟蓉, 刘冬, 吴倩妮",06/01/2020,06/01/2020,08/05/2020,,https://patents.google.com/patent/CN111110397A/en,
CN-111192484-A,Presentation device is used in teaching of environment art design specialty ,唐山师范学院,蔺泽丰,09/01/2020,09/01/2020,22/05/2020,,https://patents.google.com/patent/CN111192484A/en,
CN-110796847-A,Block chain-based environment monitoring station operation and maintenance system and method ,北京英视睿达科技有限公司,田启明,06/01/2020,06/01/2020,14/02/2020,,https://patents.google.com/patent/CN110796847A/en,
CN-111224986-A,Multi-party privacy computing system based on trusted execution environment ,杭州宇链科技有限公司,"黄佳磊, 程希冀",07/01/2020,07/01/2020,02/06/2020,,https://patents.google.com/patent/CN111224986A/en,
CN-111105691-A,Driving assistance equipment quality detection system ,重庆渝微电子技术研究院有限公司,"韩修刚, 丁莉萍, 史建东, 张建亮, 曾文, 漆奇",07/01/2020,07/01/2020,05/05/2020,,https://patents.google.com/patent/CN111105691A/en,
CN-111139321-A,Leather production process ,漳州信德皮革有限公司,李清跃,08/01/2020,08/01/2020,12/05/2020,,https://patents.google.com/patent/CN111139321A/en,
CN-111040783-A,Coking chamber-combustion chamber structure of coke oven and coke oven ,华泰永创(北京)科技股份有限公司,"姚梈, 徐列, 康健, 张晓光, 赵楠楠",02/01/2020,02/01/2020,21/04/2020,,https://patents.google.com/patent/CN111040783A/en,
CN-111404171-A,Intelligent reactive power optimization control system and method ,杭州佳和电气股份有限公司,"詹应胜, 孙新年, 刘璐, 钱晟",08/01/2020,08/01/2020,10/07/2020,,https://patents.google.com/patent/CN111404171A/en,
CN-111242310-A,"Feature validity evaluation method and device, electronic equipment and storage medium ",腾讯科技（北京）有限公司,"陈晓爽, 于春功",03/01/2020,03/01/2020,05/06/2020,,https://patents.google.com/patent/CN111242310A/en,
CN-111240476-A,"Interaction method and device based on augmented reality, storage medium and computer equipment ",腾讯科技（深圳）有限公司,滕彩峰,06/01/2020,06/01/2020,05/06/2020,,https://patents.google.com/patent/CN111240476A/en,
CN-111022980-B,Control device of party atmosphere adjusting lamp ,南京溧水高新创业投资管理有限公司,不公告发明人,03/01/2020,03/01/2020,01/09/2020,01/09/2020,https://patents.google.com/patent/CN111022980B/en,
CN-111029531-A,Monoatomic dispersed MXene material and application thereof to lithium battery negative electrode ,北京航空航天大学,杨树斌,02/01/2020,02/01/2020,17/04/2020,,https://patents.google.com/patent/CN111029531A/en,
CN-111231982-A,"Obstacle identification method and device for intelligent driving, vehicle and storage medium ",中国第一汽车股份有限公司,"吕颖, 厉健峰, 崔茂源",08/01/2020,08/01/2020,05/06/2020,,https://patents.google.com/patent/CN111231982A/en,
CN-110807562-B,Regional bridge risk prediction method and system ,杭州鲁尔物联科技有限公司,"胡辉, 张亮, 董梅, 宋杰",07/01/2020,07/01/2020,14/04/2020,14/04/2020,https://patents.google.com/patent/CN110807562B/en,
CN-111076852-B,Rotor blade surface dynamic pressure optical measurement method based on photoelectric sensor ,西北工业大学,"葛宁, 高丽敏, 姜衡, 高天宇, 郑天龙",03/01/2020,03/01/2020,02/04/2021,02/04/2021,https://patents.google.com/patent/CN111076852B/en,
CN-111209203-A,Model verification method based on source code ,"华东师范大学, 上海丰蕾信息科技有限公司","史建琦, 焦明月, 黄滟鸿, 孙文圣, 战云龙, 郭欣",06/01/2020,06/01/2020,29/05/2020,,https://patents.google.com/patent/CN111209203A/en,
CN-111241991-A,Water quality classification method based on remote sensing image ,上海普适导航科技股份有限公司,"黄华文, 叶张林, 朱熹",08/01/2020,08/01/2020,05/06/2020,,https://patents.google.com/patent/CN111241991A/en,
CN-111209154-A,Method for realizing virtual 1553B bus equipment ,上海航天计算机技术研究所,"魏冬冬, 尹龙雯, 于清华, 苏金梅, 金臻, 陈恩耀",02/01/2020,02/01/2020,29/05/2020,,https://patents.google.com/patent/CN111209154A/en,
CN-111121755-A,"Multi-sensor fusion positioning method, device, equipment and storage medium ",广东博智林机器人有限公司,"袁国斌, 史洋, 陶永康",02/01/2020,02/01/2020,08/05/2020,,https://patents.google.com/patent/CN111121755A/en,
CN-111192354-A,Three-dimensional simulation method and system based on virtual reality ,武汉瑞莱保能源技术有限公司,"赵国, 郭江, 朱文强, 黄思旭, 章芳情",02/01/2020,02/01/2020,22/05/2020,,https://patents.google.com/patent/CN111192354A/en,
CN-111304350-A,Method for detecting overwintering amount of plasmopara viticola soil through real-time fluorescent quantitative PCR ,宁夏大学,"顾沛雯, 闫思远, 肖瑞刚, 李文学, 张游, 李嘉泓",06/01/2020,06/01/2020,19/06/2020,,https://patents.google.com/patent/CN111304350A/en,
CN-111157423-A,In-situ real-time representation device and method for liquid holdup of ore heap ,北京科技大学,"尹升华, 王雷鸣, 吴爱祥, 陈勋, 严荣富, 陈威",03/01/2020,03/01/2020,15/05/2020,,https://patents.google.com/patent/CN111157423A/en,
CN-111152759-B,Method for identifying pickup card by unmanned car washer ,浙江驿公里智能科技有限公司,施恒之,03/01/2020,03/01/2020,06/11/2020,06/11/2020,https://patents.google.com/patent/CN111152759B/en,
CN-111489538-A,Smoke alarm position detection platform and method ,岳文伟,岳文伟,09/01/2020,09/01/2020,04/08/2020,,https://patents.google.com/patent/CN111489538A/en,
CN-111121256-A,Control method and device of air conditioner and storage medium ,北京小米移动软件有限公司,单联瑜,06/01/2020,06/01/2020,08/05/2020,,https://patents.google.com/patent/CN111121256A/en,
CN-111259751-A,"Video-based human behavior recognition method, device, equipment and storage medium ",北京百度网讯科技有限公司,"迟至真, 李甫, 孙昊, 何栋梁, 龙翔, 周志超, 王平, 文石磊, 丁二锐",10/01/2020,10/01/2020,09/06/2020,,https://patents.google.com/patent/CN111259751A/en,
CN-110795895-A,Method for predicting soil moisture by using earth surface reflection signals and random forest regression algorithm ,南京邮电大学,"贾燕, 王杰, 袁媛, 陈一祥",06/01/2020,06/01/2020,14/02/2020,,https://patents.google.com/patent/CN110795895A/en,
CN-111260786-A,Intelligent ultrasonic multi-mode navigation system and method ,南京航空航天大学,"陈芳, 万鹏, 张道强",06/01/2020,06/01/2020,09/06/2020,,https://patents.google.com/patent/CN111260786A/en,
CN-111177275-A,"Block chain-based management method, terminal, device and storage medium ",肖光昱,"肖光昱, 贺小鹏, 郭荣红, 巫朝华",02/01/2020,02/01/2020,19/05/2020,,https://patents.google.com/patent/CN111177275A/en,
RU-196364-U1,The simulator-plate with hieroglyphs for group classes on the restoration and preventive training of visual-spatial memory ,Леонид Евгеньевич Селявко,Леонид Евгеньевич Селявко,11/01/2020,11/01/2020,26/02/2020,26/02/2020,https://patents.google.com/patent/RU196364U1/en,https://patentimages.storage.googleapis.com/18/b2/2e/8248a686644583/00000002.png
CN-111190772-A,DSP secondary starting system and method for resisting space single event upset ,上海航天测控通信研究所,"杨凌云, 汪洋, 朱浩文, 袁杰, 黎泽清, 潘强",02/01/2020,02/01/2020,22/05/2020,,https://patents.google.com/patent/CN111190772A/en,
CN-111193233-A,A electric power erection equipment for cable erection ,"国网山东省电力公司广饶县供电公司, 国网山东省电力公司东营供电公司","林洪, 盖景瑞, 杜保明, 李俊生, 李伟, 刘珺, 李建柱",10/01/2020,10/01/2020,22/05/2020,,https://patents.google.com/patent/CN111193233A/en,
KR-20200018514-A,Real-time detection and recovery system and its construction method in case of power line failure in distribution system ,"주식회사 아이티이, 김나운","김인태, 김나운",09/01/2020,09/01/2020,19/02/2020,,https://patents.google.com/patent/KR20200018514A/en,https://patentimages.storage.googleapis.com/ee/f4/6e/6a8956d31a57ca/pat00001.png
CN-111223246-A,"Intelligent express cabinet grid state monitoring method, system and device ",中科富创（北京）科技有限公司,"宋召卫, 刘宇成, 高泽锋",09/01/2020,09/01/2020,02/06/2020,,https://patents.google.com/patent/CN111223246A/en,
CN-111126346-A,"Face recognition method, training method and device of classification model and storage medium ",腾讯科技（深圳）有限公司,"叶泽雄, 黎伟, 肖万鹏",06/01/2020,06/01/2020,08/05/2020,,https://patents.google.com/patent/CN111126346A/en,
CN-111236908-A,Multi-stage fractured horizontal well productivity prediction model and productivity sensitivity analysis method suitable for low-permeability tight gas reservoir ,西南石油大学,"乐平, 周涌沂, 贾冰懿, 杨宏楠, 谢志伟, 王国壮, 高青松, 雷涛, 任广磊",09/01/2020,09/01/2020,05/06/2020,,https://patents.google.com/patent/CN111236908A/en,
CN-110806586-B,Non-scanning linear frequency modulation continuous wave speed and distance measuring laser three-dimensional imaging method and device ,杭州爱莱达科技有限公司,"职亚楠, 孙建锋, 潘卫清, 戴恩文",08/01/2020,08/01/2020,14/04/2020,14/04/2020,https://patents.google.com/patent/CN110806586B/en,
CN-111151144-B,Nano porous membrane cleaning device and cleaning method based on insulation dielectrophoresis ,西安交通大学,"屈治国, 田地, 张剑飞",07/01/2020,07/01/2020,06/11/2020,06/11/2020,https://patents.google.com/patent/CN111151144B/en,
CN-111200532-A,"Method, device, equipment and medium for master-slave switching of database cluster node ",广州虎牙科技有限公司,"张波, 王华夏, 毛茂德",02/01/2020,02/01/2020,26/05/2020,,https://patents.google.com/patent/CN111200532A/en,
CN-111101908-A,Automatic inflow control device and tubular column ,"中国海洋石油集团有限公司, 中海油研究总院有限责任公司, 思达斯易能源技术(集团)有限公司","刘书杰, 潘豪, 易会安, 曹砚锋, 李汉兴, 王彬, 梁丹",07/01/2020,07/01/2020,05/05/2020,,https://patents.google.com/patent/CN111101908A/en,
CN-111157249-A,Diesel engine fault monitoring and early warning method and device ,江苏科技大学,"魏海峰, 崔佳, 张懿",08/01/2020,08/01/2020,15/05/2020,,https://patents.google.com/patent/CN111157249A/en,
CN-211059950-U,Intelligent home decoration device ,重庆从小到大科技有限公司,冷勇,06/01/2020,06/01/2020,21/07/2020,21/07/2020,https://patents.google.com/patent/CN211059950U/en,
CN-111215247-A,Inhibitor for high-calcium fluorite direct flotation and flotation method ,中南大学,"高志勇, 江哲伊, 王建军, 陶黎明, 汪聪, 伍思回, 任帅",07/01/2020,07/01/2020,02/06/2020,,https://patents.google.com/patent/CN111215247A/en,
