,id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link,abstract
10,US-10876118-B2,Method for expression of small antiviral RNA molecules with reduced cytotoxicity within a cell ,"California Institute Of Technology, The Regents Of The University Of California","Carlos Lois-Caballe, David Baltimore, Xiao-Feng Qin, Irvin S. Y. Chen, Dong Sung An",13/09/2001,05/07/2018,29/12/2020,29/12/2020,https://patents.google.com/patent/US10876118B2/en,https://patentimages.storage.googleapis.com/24/15/36/af927ee3e40089/US10876118-20201229-D00001.png,"A single system merges primary data storage, data protection, and intelligence. Intelligence is provided through in-line data analytics, and data intelligence and analytics are gathered on protected data and prior analytics, and stored in discovery points, all without impacting performance of primary storage. As data is written it is automatically mirrored for data protection as part of a High Availability (HA) process. Real-time analysis is done in-line with the HA processing, enabling a variety of data analytics. Data content can be mined from within files or blocks. The gathered intelligence is used to tag objects with extended metadata, enabling both valuable search options and rapid restore options. Data recovery begins with metadata restoration, followed by near-instantaneous access to “hot” regions of data being restored, allowing site operation to continue or resume while a restore is ongoing."
11,US-10024064-B2,Trim components for lapboard siding that are co-extruded from wood-plastic composites and polyvinyl chloride ,Shaun Robert Monteer,Shaun Robert Monteer,25/02/2010,14/07/2015,17/07/2018,17/07/2018,https://patents.google.com/patent/US10024064B2/en,https://patentimages.storage.googleapis.com/72/b2/a1/13e402101a5fc2/US10024064-20180717-D00000.png,"A single system merges primary data storage, data protection, and intelligence. Intelligence is provided through in-line data analytics, and data intelligence and analytics are gathered on protected data and prior analytics, and stored in discovery points, all without impacting performance of primary storage. As data is written it is automatically mirrored for data protection as part of a High Availability (HA) process. Real-time analysis is done in-line with the HA processing, enabling a variety of data analytics. Data content can be mined from within files or blocks. The gathered intelligence is used to tag objects with extended metadata, enabling both valuable search options and rapid restore options. Data recovery begins with metadata restoration, followed by near-instantaneous access to “hot” regions of data being restored, allowing site operation to continue or resume while a restore is ongoing."
12,US-9641393-B2,Forming crowds and providing access to crowd data in a mobile environment ,"Waldeck Technology, Llc","Steven L. Petersen, Scott Curtis, Kenneth Jennings",02/02/2009,03/08/2015,02/05/2017,02/05/2017,https://patents.google.com/patent/US9641393B2/en,https://patentimages.storage.googleapis.com/e5/1a/3c/4e4b19cfdb131d/US09641393-20170502-D00000.png,"A single system merges primary data storage, data protection, and intelligence. Intelligence is provided through in-line data analytics, and data intelligence and analytics are gathered on protected data and prior analytics, and stored in discovery points, all without impacting performance of primary storage. As data is written it is automatically mirrored for data protection as part of a High Availability (HA) process. Real-time analysis is done in-line with the HA processing, enabling a variety of data analytics. Data content can be mined from within files or blocks. The gathered intelligence is used to tag objects with extended metadata, enabling both valuable search options and rapid restore options. Data recovery begins with metadata restoration, followed by near-instantaneous access to “hot” regions of data being restored, allowing site operation to continue or resume while a restore is ongoing."
13,US-2019058709-A1,Tenant management method and system in a cloud computing environment ,Telefonaktiebolaget Lm Ericsson (Publ),"James Kempf, Joacim Halén, Tomas Mecklin",16/08/2017,19/12/2017,21/02/2019,,https://patents.google.com/patent/US20190058709A1/en,https://patentimages.storage.googleapis.com/8a/61/7b/4267c01e667962/US20190058709A1-20190221-D00000.png,"A single system merges primary data storage, data protection, and intelligence. Intelligence is provided through in-line data analytics, and data intelligence and analytics are gathered on protected data and prior analytics, and stored in discovery points, all without impacting performance of primary storage. As data is written it is automatically mirrored for data protection as part of a High Availability (HA) process. Real-time analysis is done in-line with the HA processing, enabling a variety of data analytics. Data content can be mined from within files or blocks. The gathered intelligence is used to tag objects with extended metadata, enabling both valuable search options and rapid restore options. Data recovery begins with metadata restoration, followed by near-instantaneous access to “hot” regions of data being restored, allowing site operation to continue or resume while a restore is ongoing."
14,US-9600184-B2,"Apparatus, system, and method for coordinating storage requests in a multi-processor/multi-thread environment ",Sandisk Technologies Llc,"David Flynn, Michael Zappe, Jonathan Thatcher",06/12/2007,25/09/2015,21/03/2017,21/03/2017,https://patents.google.com/patent/US9600184B2/en,https://patentimages.storage.googleapis.com/4c/6c/8d/45802239ebd10d/US09600184-20170321-D00000.png,"A single system merges primary data storage, data protection, and intelligence. Intelligence is provided through in-line data analytics, and data intelligence and analytics are gathered on protected data and prior analytics, and stored in discovery points, all without impacting performance of primary storage. As data is written it is automatically mirrored for data protection as part of a High Availability (HA) process. Real-time analysis is done in-line with the HA processing, enabling a variety of data analytics. Data content can be mined from within files or blocks. The gathered intelligence is used to tag objects with extended metadata, enabling both valuable search options and rapid restore options. Data recovery begins with metadata restoration, followed by near-instantaneous access to “hot” regions of data being restored, allowing site operation to continue or resume while a restore is ongoing."
15,US-10542757-B2,Compositions comprising a biological control agent and an insecticide ,Bayer Cropscience Ag,"Elke Hellwege, Wolfram Andersch, Klaus Stenzel, Bernd Springer",30/05/2012,16/04/2019,28/01/2020,28/01/2020,https://patents.google.com/patent/US10542757B2/en,,"A single system merges primary data storage, data protection, and intelligence. Intelligence is provided through in-line data analytics, and data intelligence and analytics are gathered on protected data and prior analytics, and stored in discovery points, all without impacting performance of primary storage. As data is written it is automatically mirrored for data protection as part of a High Availability (HA) process. Real-time analysis is done in-line with the HA processing, enabling a variety of data analytics. Data content can be mined from within files or blocks. The gathered intelligence is used to tag objects with extended metadata, enabling both valuable search options and rapid restore options. Data recovery begins with metadata restoration, followed by near-instantaneous access to “hot” regions of data being restored, allowing site operation to continue or resume while a restore is ongoing."
16,US-9595018-B2,"Switch network of containers and trailers for transportation, storage, and distribution of physical items ",Hernan Ramiro Carvajal,Hernan Ramiro Carvajal,06/05/2014,06/05/2015,14/03/2017,14/03/2017,https://patents.google.com/patent/US9595018B2/en,https://patentimages.storage.googleapis.com/50/03/20/f6c1298c330660/US09595018-20170314-D00000.png,"A single system merges primary data storage, data protection, and intelligence. Intelligence is provided through in-line data analytics, and data intelligence and analytics are gathered on protected data and prior analytics, and stored in discovery points, all without impacting performance of primary storage. As data is written it is automatically mirrored for data protection as part of a High Availability (HA) process. Real-time analysis is done in-line with the HA processing, enabling a variety of data analytics. Data content can be mined from within files or blocks. The gathered intelligence is used to tag objects with extended metadata, enabling both valuable search options and rapid restore options. Data recovery begins with metadata restoration, followed by near-instantaneous access to “hot” regions of data being restored, allowing site operation to continue or resume while a restore is ongoing."
17,US-10173675-B2,Method and apparatus in a motor vehicle for automated driving ,Volkswagen Ag,"David Perdomo LOPEZ, Christian Jördens, Lutz Junge, Michael Darms",04/12/2015,30/11/2016,08/01/2019,08/01/2019,https://patents.google.com/patent/US10173675B2/en,https://patentimages.storage.googleapis.com/e8/70/5e/badde3a93c284f/US10173675-20190108-D00000.png,"A single system merges primary data storage, data protection, and intelligence. Intelligence is provided through in-line data analytics, and data intelligence and analytics are gathered on protected data and prior analytics, and stored in discovery points, all without impacting performance of primary storage. As data is written it is automatically mirrored for data protection as part of a High Availability (HA) process. Real-time analysis is done in-line with the HA processing, enabling a variety of data analytics. Data content can be mined from within files or blocks. The gathered intelligence is used to tag objects with extended metadata, enabling both valuable search options and rapid restore options. Data recovery begins with metadata restoration, followed by near-instantaneous access to “hot” regions of data being restored, allowing site operation to continue or resume while a restore is ongoing."
18,KR-20190029524-A,System and method for training a robot to autonomously traverse a path ,브레인 코퍼레이션,"장 밥티스트 파소, 앤드류 스미스, 보톤드 스잣머리, 가바르도스 보르하 이바르즈, 코디 그리핀, 잘덜트 롬바우츠, 올레그 신야프스키, 유진 이즈히케비치",11/05/2016,11/05/2017,20/03/2019,,https://patents.google.com/patent/KR20190029524A/en,https://patentimages.storage.googleapis.com/37/89/42/565bf3898a0fac/pct00001.png,"A single system merges primary data storage, data protection, and intelligence. Intelligence is provided through in-line data analytics, and data intelligence and analytics are gathered on protected data and prior analytics, and stored in discovery points, all without impacting performance of primary storage. As data is written it is automatically mirrored for data protection as part of a High Availability (HA) process. Real-time analysis is done in-line with the HA processing, enabling a variety of data analytics. Data content can be mined from within files or blocks. The gathered intelligence is used to tag objects with extended metadata, enabling both valuable search options and rapid restore options. Data recovery begins with metadata restoration, followed by near-instantaneous access to “hot” regions of data being restored, allowing site operation to continue or resume while a restore is ongoing."
19,US-2019086211-A1,Methods of attitude and misalignment estimation for constraint free portable navigation ,"Invensense, Inc.","Jacques Georgy, Zainab Syed, Christopher Goodall, Mohamed Atia, Aboelmagd Noureldin, Naser El-Sheimy",23/03/2011,09/11/2018,21/03/2019,,https://patents.google.com/patent/US20190086211A1/en,https://patentimages.storage.googleapis.com/7a/f9/43/f77a8055e2c296/US20190086211A1-20190321-D00000.png,"A single system merges primary data storage, data protection, and intelligence. Intelligence is provided through in-line data analytics, and data intelligence and analytics are gathered on protected data and prior analytics, and stored in discovery points, all without impacting performance of primary storage. As data is written it is automatically mirrored for data protection as part of a High Availability (HA) process. Real-time analysis is done in-line with the HA processing, enabling a variety of data analytics. Data content can be mined from within files or blocks. The gathered intelligence is used to tag objects with extended metadata, enabling both valuable search options and rapid restore options. Data recovery begins with metadata restoration, followed by near-instantaneous access to “hot” regions of data being restored, allowing site operation to continue or resume while a restore is ongoing."
20,US-10684525-B2,Seal and seal system for a layered device ,"Switch Materials, Inc.","Simon James Gauthier, Andrew Koutsandreas, Duhane Lam, Jonathan Ross Sargent, Peter Alexander Von Hahn",07/03/2013,07/09/2017,16/06/2020,16/06/2020,https://patents.google.com/patent/US10684525B2/en,https://patentimages.storage.googleapis.com/f3/86/f8/375cc20b25412d/US10684525-20200616-D00000.png,"A single system merges primary data storage, data protection, and intelligence. Intelligence is provided through in-line data analytics, and data intelligence and analytics are gathered on protected data and prior analytics, and stored in discovery points, all without impacting performance of primary storage. As data is written it is automatically mirrored for data protection as part of a High Availability (HA) process. Real-time analysis is done in-line with the HA processing, enabling a variety of data analytics. Data content can be mined from within files or blocks. The gathered intelligence is used to tag objects with extended metadata, enabling both valuable search options and rapid restore options. Data recovery begins with metadata restoration, followed by near-instantaneous access to “hot” regions of data being restored, allowing site operation to continue or resume while a restore is ongoing."
21,US-2018322750-A1,Video surveillance system employing video primitives ,Avigilon Fortress Corporation,"Peter L. Venetianer, Alan J. Lipton, Yongtong Hu, Andrew J. Martone, Weihong Yin, Li Yu, Zhong Zhang",24/10/2000,16/07/2018,08/11/2018,,https://patents.google.com/patent/US20180322750A1/en,https://patentimages.storage.googleapis.com/47/54/f5/3a5bdc4a32dc5f/US20180322750A1-20181108-D00000.png,"A single system merges primary data storage, data protection, and intelligence. Intelligence is provided through in-line data analytics, and data intelligence and analytics are gathered on protected data and prior analytics, and stored in discovery points, all without impacting performance of primary storage. As data is written it is automatically mirrored for data protection as part of a High Availability (HA) process. Real-time analysis is done in-line with the HA processing, enabling a variety of data analytics. Data content can be mined from within files or blocks. The gathered intelligence is used to tag objects with extended metadata, enabling both valuable search options and rapid restore options. Data recovery begins with metadata restoration, followed by near-instantaneous access to “hot” regions of data being restored, allowing site operation to continue or resume while a restore is ongoing."
22,EP-3308522-B1,"System, apparatus and method for multi-owner transfer of ownership of a device ",Intel Corporation,"Jesse Walker, Ned M. Smith, Howard C. Herbert, Manoj R. Sastry",09/06/2015,23/05/2016,01/04/2020,01/04/2020,https://patents.google.com/patent/EP3308522B1/en,https://patentimages.storage.googleapis.com/6f/98/34/6639c0d8e8748c/imgf0001.png,"A single system merges primary data storage, data protection, and intelligence. Intelligence is provided through in-line data analytics, and data intelligence and analytics are gathered on protected data and prior analytics, and stored in discovery points, all without impacting performance of primary storage. As data is written it is automatically mirrored for data protection as part of a High Availability (HA) process. Real-time analysis is done in-line with the HA processing, enabling a variety of data analytics. Data content can be mined from within files or blocks. The gathered intelligence is used to tag objects with extended metadata, enabling both valuable search options and rapid restore options. Data recovery begins with metadata restoration, followed by near-instantaneous access to “hot” regions of data being restored, allowing site operation to continue or resume while a restore is ongoing."
23,US-2018346551-A1,Artificial antibody polypeptides ,"Research Corporation Technologies, Inc.",Shohei Koide,11/07/2000,13/08/2018,06/12/2018,,https://patents.google.com/patent/US20180346551A1/en,https://patentimages.storage.googleapis.com/64/0a/45/10c7b28ea518d4/US20180346551A1-20181206-D00001.png,"A single system merges primary data storage, data protection, and intelligence. Intelligence is provided through in-line data analytics, and data intelligence and analytics are gathered on protected data and prior analytics, and stored in discovery points, all without impacting performance of primary storage. As data is written it is automatically mirrored for data protection as part of a High Availability (HA) process. Real-time analysis is done in-line with the HA processing, enabling a variety of data analytics. Data content can be mined from within files or blocks. The gathered intelligence is used to tag objects with extended metadata, enabling both valuable search options and rapid restore options. Data recovery begins with metadata restoration, followed by near-instantaneous access to “hot” regions of data being restored, allowing site operation to continue or resume while a restore is ongoing."
24,US-9444531-B2,Channel sounding for improved system performance ,Interdigital Technology Corporation,Joseph S. Levy,11/08/2004,07/12/2015,13/09/2016,13/09/2016,https://patents.google.com/patent/US9444531B2/en,https://patentimages.storage.googleapis.com/e5/63/4c/4f7e6f5782a23e/US09444531-20160913-D00000.png,"A single system merges primary data storage, data protection, and intelligence. Intelligence is provided through in-line data analytics, and data intelligence and analytics are gathered on protected data and prior analytics, and stored in discovery points, all without impacting performance of primary storage. As data is written it is automatically mirrored for data protection as part of a High Availability (HA) process. Real-time analysis is done in-line with the HA processing, enabling a variety of data analytics. Data content can be mined from within files or blocks. The gathered intelligence is used to tag objects with extended metadata, enabling both valuable search options and rapid restore options. Data recovery begins with metadata restoration, followed by near-instantaneous access to “hot” regions of data being restored, allowing site operation to continue or resume while a restore is ongoing."
25,US-2018224141-A1,Warm Water Cooling ,Google Llc,"Andrew B. Carlson, William H. Whitted, Jimmy Clidaras, William Hamburgen, Gerald Aigner, Donald L. Beaty",01/06/2006,10/04/2018,09/08/2018,,https://patents.google.com/patent/US20180224141A1/en,https://patentimages.storage.googleapis.com/eb/85/1c/ac0ac7b293c6d6/US20180224141A1-20180809-D00000.png,"A single system merges primary data storage, data protection, and intelligence. Intelligence is provided through in-line data analytics, and data intelligence and analytics are gathered on protected data and prior analytics, and stored in discovery points, all without impacting performance of primary storage. As data is written it is automatically mirrored for data protection as part of a High Availability (HA) process. Real-time analysis is done in-line with the HA processing, enabling a variety of data analytics. Data content can be mined from within files or blocks. The gathered intelligence is used to tag objects with extended metadata, enabling both valuable search options and rapid restore options. Data recovery begins with metadata restoration, followed by near-instantaneous access to “hot” regions of data being restored, allowing site operation to continue or resume while a restore is ongoing."
26,JP-2018099532-A,Methods and devices for applying energy to bodily tissues ,"マイクロキューブ， エルエルシー, Microcube Llc, マイクロキューブ，  エルエルシー","シュロフ ケタン, Shroff Ketan, シュロフ ケタン, ユウ チュウ チュン, Chun Yiu Chu, ユウ  チュウ チュン, アイ． モディ ディネシュ, I MODY Dinesh, アイ．  モディ ディネシュ, エモンズ クラレンス, emmons Clarence, エモンズ クラレンス, ジャイプラカシュ ウォルケ アムリッシュ, Jayprakash Walke Amrish, ジャイプラカシュ  ウォルケ アムリッシュ",21/10/2008,13/02/2018,28/06/2018,,https://patents.google.com/patent/JP2018099532A/en,,"A single system merges primary data storage, data protection, and intelligence. Intelligence is provided through in-line data analytics, and data intelligence and analytics are gathered on protected data and prior analytics, and stored in discovery points, all without impacting performance of primary storage. As data is written it is automatically mirrored for data protection as part of a High Availability (HA) process. Real-time analysis is done in-line with the HA processing, enabling a variety of data analytics. Data content can be mined from within files or blocks. The gathered intelligence is used to tag objects with extended metadata, enabling both valuable search options and rapid restore options. Data recovery begins with metadata restoration, followed by near-instantaneous access to “hot” regions of data being restored, allowing site operation to continue or resume while a restore is ongoing."
27,US-2018074678-A1,Precise selection techniques for multi-touch screens ,"Microsoft Technology Licensing, Llc","Hrvoje Benko, Andrew D. Wilson, Patrick M. Baudisch",19/04/2006,20/11/2017,15/03/2018,,https://patents.google.com/patent/US20180074678A1/en,https://patentimages.storage.googleapis.com/7a/c1/ab/87083d34569e66/US20180074678A1-20180315-D00000.png,"A single system merges primary data storage, data protection, and intelligence. Intelligence is provided through in-line data analytics, and data intelligence and analytics are gathered on protected data and prior analytics, and stored in discovery points, all without impacting performance of primary storage. As data is written it is automatically mirrored for data protection as part of a High Availability (HA) process. Real-time analysis is done in-line with the HA processing, enabling a variety of data analytics. Data content can be mined from within files or blocks. The gathered intelligence is used to tag objects with extended metadata, enabling both valuable search options and rapid restore options. Data recovery begins with metadata restoration, followed by near-instantaneous access to “hot” regions of data being restored, allowing site operation to continue or resume while a restore is ongoing."
28,US-2020031734-A1,Reactors and systems for oxidative coupling of methane ,Lummus Technology Llc,"Joel Cizeron, Guido Radaelli, Satish LAKHAPATRI, Erik Freer, Jin Ki Hong, Jarod McCormick, David Sheridan, Charles Reid, Roberto Pellizzari, Samuel Weinberger, Justin Dwight Edwards",27/11/2013,01/03/2019,30/01/2020,,https://patents.google.com/patent/US20200031734A1/en,https://patentimages.storage.googleapis.com/cc/dd/bf/1ae48160da4f8e/US20200031734A1-20200130-D00001.png,"A single system merges primary data storage, data protection, and intelligence. Intelligence is provided through in-line data analytics, and data intelligence and analytics are gathered on protected data and prior analytics, and stored in discovery points, all without impacting performance of primary storage. As data is written it is automatically mirrored for data protection as part of a High Availability (HA) process. Real-time analysis is done in-line with the HA processing, enabling a variety of data analytics. Data content can be mined from within files or blocks. The gathered intelligence is used to tag objects with extended metadata, enabling both valuable search options and rapid restore options. Data recovery begins with metadata restoration, followed by near-instantaneous access to “hot” regions of data being restored, allowing site operation to continue or resume while a restore is ongoing."
29,JP-2019092192-A,Slot array antenna ,"日本電産株式会社, Nippon Densan Corp, 株式会社Ｗｇｒ, Wgr Co Ltd","桐野　秀樹, Hideki Kirino, 秀樹 桐野, 宏幸 加茂, Hiroyuki Kamo, 宏幸 加茂",05/11/2015,04/02/2019,13/06/2019,,https://patents.google.com/patent/JP2019092192A/en,https://patentimages.storage.googleapis.com/60/b3/47/430d3dd39f55b3/2019092192-5.png,"A single system merges primary data storage, data protection, and intelligence. Intelligence is provided through in-line data analytics, and data intelligence and analytics are gathered on protected data and prior analytics, and stored in discovery points, all without impacting performance of primary storage. As data is written it is automatically mirrored for data protection as part of a High Availability (HA) process. Real-time analysis is done in-line with the HA processing, enabling a variety of data analytics. Data content can be mined from within files or blocks. The gathered intelligence is used to tag objects with extended metadata, enabling both valuable search options and rapid restore options. Data recovery begins with metadata restoration, followed by near-instantaneous access to “hot” regions of data being restored, allowing site operation to continue or resume while a restore is ongoing."
